id,name,code,parent_id/id,type,user_type/id,reconcile
ecosoft_account_0,Chart of Account â€“ ecosoft,0,,View,account.data_account_type_root_view,FALSE
ecosoft_account_1,Statement of Financial Position,1,ecosoft_account_0,View,account.data_account_type_view,FALSE
ecosoft_account_10000,Assets,10000,ecosoft_account_1,View,account.data_account_type_view,FALSE
ecosoft_account_11000,Current Assets,11000,ecosoft_account_10000,View,account.data_account_type_view,FALSE
ecosoft_account_11100,Cash and Cash Equivalents,11100,ecosoft_account_11000,View,account.data_account_type_view,FALSE
ecosoft_account_11110,Petty Cash,11110,ecosoft_account_11100,Liquidity,account.data_account_type_cash,FALSE
ecosoft_account_11120,SCBT C/A#001-008-17807,11120,ecosoft_account_11100,Liquidity,account.data_account_type_bank,FALSE
ecosoft_account_11130,SCBT S/A#001-008-17815,11130,ecosoft_account_11100,Liquidity,account.data_account_type_bank,FALSE
ecosoft_account_11140,Kbank S/A#748-2-64808-2,11140,ecosoft_account_11100,Liquidity,account.data_account_type_bank,FALSE
ecosoft_account_11200,Short term Investments,11200,ecosoft_account_11000,View,account.data_account_type_view,FALSE
ecosoft_account_11210,Short term Investments,11210,ecosoft_account_11200,Regular,account.data_account_type_current_assets,FALSE
ecosoft_account_11300,Trade and Other Receivables,11300,ecosoft_account_11000,View,account.data_account_type_view,FALSE
ecosoft_account_11310,Trade Accounts Receivable - Services,11310,ecosoft_account_11300,Receivable,account.data_account_type_receivable,TRUE
ecosoft_account_11390,Allowance for Doubtful Account,11390,ecosoft_account_11300,Regular,account.data_account_type_receivable,FALSE
ecosoft_account_11410,Receivable Owners/Shareholders,11410,ecosoft_account_11300,Receivable,account.data_account_type_receivable,TRUE
ecosoft_account_11420,Receivable Employees,11420,ecosoft_account_11300,Receivable,account.data_account_type_receivable,TRUE
ecosoft_account_11490,Receivable Others,11490,ecosoft_account_11300,Receivable,account.data_account_type_receivable,TRUE
ecosoft_account_11400,Project Assets,11400,ecosoft_account_11000,View,account.data_account_type_view,FALSE
ecosoft_account_11410,Project WIP,11410,ecosoft_account_11400,Regular,account.data_account_type_current_assets,FALSE
ecosoft_account_11900,Other Current Assets,11900,ecosoft_account_11000,View,account.data_account_type_view,FALSE
ecosoft_account_11910,Vendor Prepayments,11910,ecosoft_account_11900,Regular,account.data_account_type_current_assets,FALSE
ecosoft_account_11911,Advances,11911,ecosoft_account_11900,Regular,account.data_account_type_current_assets,FALSE
ecosoft_account_11912,Prepayment,11912,ecosoft_account_11900,Regular,account.data_account_type_current_assets,FALSE
ecosoft_account_11913,Accrued Income,11913,ecosoft_account_11900,Regular,account.data_account_type_current_assets,FALSE
ecosoft_account_11920,Input Tax,11920,ecosoft_account_11900,Regular,account.data_account_type_input_tax,FALSE
ecosoft_account_11921,Undue Input tax,11921,ecosoft_account_11900,Regular,account.data_account_type_current_assets,FALSE
ecosoft_account_11922,A/R Revenue Dept (PP30),11922,ecosoft_account_11900,Regular,account.data_account_type_current_assets,FALSE
ecosoft_account_11930,Prepaid Withholding tax,11930,ecosoft_account_11900,Regular,account.data_account_type_current_assets,FALSE
ecosoft_account_11940,Prepaid Corporate Income tax (PND.51),11940,ecosoft_account_11900,Regular,account.data_account_type_current_assets,FALSE
ecosoft_account_19990,Other Current Assets,19990,ecosoft_account_11900,Regular,account.data_account_type_current_assets,FALSE
ecosoft_account_12000,Non Current Assets,12000,ecosoft_account_10000,View,account.data_account_type_view,FALSE
ecosoft_account_12100,"Property, Plant and Equipment",12100,ecosoft_account_12000,View,account.data_account_type_view,FALSE
ecosoft_account_12110,Office Equipment,12110,ecosoft_account_12100,Regular,account.data_account_type_fixed_assets,FALSE
ecosoft_account_12120,IT Equipment,12120,ecosoft_account_12100,Regular,account.data_account_type_fixed_assets,FALSE
ecosoft_account_12111,Office Equipment Accumulated Depreciation,12111,ecosoft_account_12100,Regular,account.data_account_type_fixed_assets,FALSE
ecosoft_account_12121,IT Equipment Accumulated Depreciation,12121,ecosoft_account_12100,Regular,account.data_account_type_fixed_assets,FALSE
ecosoft_account_12180,Other Intangible Assets,12180,ecosoft_account_12100,Regular,account.data_account_type_fixed_assets,FALSE
ecosoft_account_12181,Accumulated Amortization,12181,ecosoft_account_12100,Regular,account.data_account_type_fixed_assets,FALSE
ecosoft_account_12200,Long term Investments,12200,ecosoft_account_12000,View,account.data_account_type_view,FALSE
ecosoft_account_12210,Long term Investments,12210,ecosoft_account_12200,Regular,account.data_account_account_type_non_current_assets,FALSE
ecosoft_account_12300,Long term Loans,12300,ecosoft_account_12000,View,account.data_account_type_view,FALSE
ecosoft_account_12310,Loans to Employees,12310,ecosoft_account_12300,Regular,account.data_account_account_type_non_current_assets,FALSE
ecosoft_account_12320,Loans to Owners/Shareholders,12320,ecosoft_account_12300,Regular,account.data_account_account_type_non_current_assets,FALSE
ecosoft_account_12390,Loans to Others,12390,ecosoft_account_12300,Regular,account.data_account_account_type_non_current_assets,FALSE
ecosoft_account_12900,Other Non Current Assets,12900,ecosoft_account_12000,View,account.data_account_type_view,FALSE
ecosoft_account_12910,Deposit,12910,ecosoft_account_12900,Regular,account.data_account_account_type_non_current_assets,FALSE
ecosoft_account_12990,Other Assets,12990,ecosoft_account_12900,Regular,account.data_account_account_type_non_current_assets,FALSE
ecosoft_account_20000,Liabilities,20000,ecosoft_account_1,View,account.data_account_type_view,FALSE
ecosoft_account_21000,Current Liabilities,21000,ecosoft_account_20000,View,account.data_account_type_view,FALSE
ecosoft_account_21100,Trade and Other Payables,21100,ecosoft_account_21000,View,account.data_account_type_view,FALSE
ecosoft_account_21110,Accounts Payable Trade,21110,ecosoft_account_21100,Payable,account.data_account_type_payable,TRUE
ecosoft_account_21120,Accounts Payable Services,21120,ecosoft_account_21100,Payable,account.data_account_type_payable,TRUE
ecosoft_account_21130,Post dated checks,21130,ecosoft_account_21100,Payable,account.data_account_type_payable,FALSE
ecosoft_account_21200,Short term Loans,21200,ecosoft_account_21000,View,account.data_account_type_view,FALSE
ecosoft_account_21210,Short term loans from Owners/Shareholders,21210,ecosoft_account_21200,Regular,account.data_account_type_current_liabilities,FALSE
ecosoft_account_21290,Other Short term loans,21290,ecosoft_account_21200,Regular,account.data_account_type_current_liabilities,FALSE
ecosoft_account_21900,Other Current Liabilities,21900,ecosoft_account_21000,View,account.data_account_type_view,FALSE
ecosoft_account_21910,Accrued Expenses,21910,ecosoft_account_21900,Regular,account.data_account_type_current_liabilities,FALSE
ecosoft_account_21920,Output tax,21920,ecosoft_account_21900,Regular,account.data_account_type_output_tax,FALSE
ecosoft_account_21921,Undue output tax,21921,ecosoft_account_21900,Regular,account.data_account_type_current_liabilities,FALSE
ecosoft_account_21922,A/P Revenue Dept (PP30),21922,ecosoft_account_21900,Regular,account.data_account_type_current_liabilities,FALSE
ecosoft_account_21930,Withholding Tax Payable,21930,ecosoft_account_21900,Regular,account.data_account_type_current_liabilities,FALSE
ecosoft_account_21940,Corporate Income tax payable,21940,ecosoft_account_21900,Regular,account.data_account_type_current_liabilities,FALSE
ecosoft_account_21990,Other Current Liabilities,21990,ecosoft_account_21900,Regular,account.data_account_type_current_liabilities,FALSE
ecosoft_account_22000,Non Current Liabilities,22000,ecosoft_account_20000,View,account.data_account_type_view,FALSE
ecosoft_account_22100,Long term Loans,22100,ecosoft_account_22000,Regular,account.data_account_account_type_non_current_liabilities,FALSE
ecosoft_account_22110,Long term loans from Owners/Shareholders,22110,ecosoft_account_22100,Regular,account.data_account_account_type_non_current_liabilities,FALSE
ecosoft_account_22190,Loans from others,22190,ecosoft_account_22100,Regular,account.data_account_account_type_non_current_liabilities,FALSE
ecosoft_account_22200,Other Non Current Liabilities,22200,ecosoft_account_22000,View,account.data_account_type_view,FALSE
ecosoft_account_22290,Other Non Current Liabilities,22290,ecosoft_account_22200,Regular,account.data_account_account_type_non_current_liabilities,FALSE
ecosoft_account_30000,Owners' equity,30000,ecosoft_account_1,View,account.data_account_type_view,FALSE
ecosoft_account_31100,Authorised Share Capital,31100,ecosoft_account_30000,Regular,account.data_account_type_equity,FALSE
ecosoft_account_31200,Issued and paid up share capital,31200,ecosoft_account_30000,Regular,account.data_account_type_equity,FALSE
ecosoft_account_32100,Premium on Shares,32100,ecosoft_account_30000,Regular,account.data_account_type_equity,FALSE
ecosoft_account_32200,Other surpluses,32200,ecosoft_account_30000,Regular,account.data_account_type_equity,FALSE
ecosoft_account_33100,Legal reserve,33100,ecosoft_account_30000,Regular,account.data_account_type_equity,FALSE
ecosoft_account_33200,Dividends,33200,ecosoft_account_30000,Regular,account.data_account_type_equity,FALSE
ecosoft_account_33900,Retained Earnings,33900,ecosoft_account_30000,Regular,account.data_account_type_equity,FALSE
ecosoft_account_2,Statement of Income,2,ecosoft_account_0,View,account.data_account_type_view,FALSE
ecosoft_account_40000,Revenue,40000,ecosoft_account_2,View,account.data_account_type_view,FALSE
ecosoft_account_41000,Service Income,41000,ecosoft_account_40000,View,account.data_account_type_view,FALSE
ecosoft_account_41100,Implementation Revenue,41100,ecosoft_account_41000,Regular,account.data_account_type_income,FALSE
ecosoft_account_41200,Trainings Revenue,41200,ecosoft_account_41000,Regular,account.data_account_type_income,FALSE
ecosoft_account_41300,Support service revenue,41300,ecosoft_account_41000,Regular,account.data_account_type_income,FALSE
ecosoft_account_41900,Trade Discounts,41900,ecosoft_account_41000,Regular,account.data_account_type_income,FALSE
ecosoft_account_42000,Other Income,42000,ecosoft_account_40000,Regular,account.data_account_type_income,FALSE
ecosoft_account_42100,Interest Income,42100,ecosoft_account_42000,Regular,account.data_account_type_income,FALSE
ecosoft_account_42200,Fixed Asset Sale Gain/Loss,42200,ecosoft_account_42000,Regular,account.data_account_type_income,FALSE
ecosoft_account_42310,Unrealized gain,42310,ecosoft_account_42000,Regular,account.data_account_type_income,FALSE
ecosoft_account_42320,Realized gain,42320,ecosoft_account_42000,Regular,account.data_account_type_income,FALSE
ecosoft_account_42900,Other Income,42900,ecosoft_account_42000,Regular,account.data_account_type_income,FALSE
ecosoft_account_50000,Cost of Service,50000,ecosoft_account_2,View,account.data_account_type_view,FALSE
ecosoft_account_51000,Cost of Service - Salaries & Wages,51000,ecosoft_account_50000,Regular,account.data_account_account_type_cost_of_service,FALSE
ecosoft_account_51100,Salaries - Project Staff,51100,ecosoft_account_51000,Regular,account.data_account_account_type_cost_of_service,FALSE
ecosoft_account_51500,Subcontractors payments,51500,ecosoft_account_51000,Regular,account.data_account_account_type_cost_of_service,FALSE
ecosoft_account_52000,Cost of Service - Others,52000,ecosoft_account_50000,Regular,account.data_account_account_type_cost_of_service,FALSE
ecosoft_account_52100,Project Transportation,52100,ecosoft_account_52000,Regular,account.data_account_account_type_cost_of_service,FALSE
ecosoft_account_52200,Project Trip - Plane/Train/Ship,52200,ecosoft_account_52000,Regular,account.data_account_account_type_cost_of_service,FALSE
ecosoft_account_52300,Project Trip - Hotel,52300,ecosoft_account_52000,Regular,account.data_account_account_type_cost_of_service,FALSE
ecosoft_account_52400,Project Trip - Meals,52400,ecosoft_account_52000,Regular,account.data_account_account_type_cost_of_service,FALSE
ecosoft_account_52900,Other Cost of Service,52900,ecosoft_account_52000,Regular,account.data_account_account_type_cost_of_service,FALSE
ecosoft_account_60000,Selling and Administrative Expenses,60000,ecosoft_account_2,View,account.data_account_type_view,FALSE
ecosoft_account_61000,Selling Expenses,61000,ecosoft_account_60000,View,account.data_account_type_view,FALSE
ecosoft_account_61100,Partnership Fee,61100,ecosoft_account_61000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_61200,Media Advertising,61200,ecosoft_account_61000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_61300,Catalog/Newsletter,61300,ecosoft_account_61000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_61400,Events,61400,ecosoft_account_61000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_61500,Web Hosting,61500,ecosoft_account_61000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_61800,Other Advertising & Promotion,61800,ecosoft_account_61000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_61900,Entertainment and Customer gift fees,61900,ecosoft_account_61000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62000,Administrative Expenses,62000,ecosoft_account_60000,View,account.data_account_type_view,FALSE
ecosoft_account_62100,Salaries and Benefits,62100,ecosoft_account_62000,View,account.data_account_type_view,FALSE
ecosoft_account_62110,Management Gross Salaries,62110,ecosoft_account_62100,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62120,Employee Gross Salaries,62120,ecosoft_account_62100,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62130,Bonus,62130,ecosoft_account_62100,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62140,Personal Income tax paid by company,62140,ecosoft_account_62100,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62150,Social security fund,62150,ecosoft_account_62100,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62151,Social compensation fund,62151,ecosoft_account_62100,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62160,Health Insurance Premium,62160,ecosoft_account_62100,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62170,Other Benefit Expense,62170,ecosoft_account_62100,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62200,Occupancy Costs,62200,ecosoft_account_62000,View,account.data_account_type_view,FALSE
ecosoft_account_62210,Rent Expense,62210,ecosoft_account_62200,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62220,Utilities,62220,ecosoft_account_62200,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62290,Other Occupancy Costs,62290,ecosoft_account_62200,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62300,Communication Charges,62300,ecosoft_account_62000,View,account.data_account_type_view,FALSE
ecosoft_account_62310,Telephone,62310,ecosoft_account_62300,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62320,Mobile Telephone,62320,ecosoft_account_62300,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62330,Network Charges,62330,ecosoft_account_62300,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62340,Postage Expense,62340,ecosoft_account_62300,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62400,Legal and Professional fee,62400,ecosoft_account_62000,View,account.data_account_type_view,FALSE
ecosoft_account_62410,Legal Fees,62410,ecosoft_account_62400,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62420,Accounting Fees,62420,ecosoft_account_62400,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62430,Audit fees,62430,ecosoft_account_62400,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62490,Other Consulting Fees,62490,ecosoft_account_62400,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62500,Business Trip and Subsistence,62500,ecosoft_account_62000,View,account.data_account_type_view,FALSE
ecosoft_account_62510,Business Travel - Plane/Train/Ship,62510,ecosoft_account_62500,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62520,Business Travel - Meeting pax,62520,ecosoft_account_62500,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62530,Business Travel - Hotel,62530,ecosoft_account_62500,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62540,Business Travel - Meals,62540,ecosoft_account_62500,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62600,Office Expenses,62600,ecosoft_account_62000,View,account.data_account_type_view,FALSE
ecosoft_account_62610,Stationary & Supplies - Office Use,62610,ecosoft_account_62600,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62620,Admin Transportation - Taxi/Messenger/etc.,62620,ecosoft_account_62600,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62630,Association Membership Fees,62630,ecosoft_account_62600,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62640,Subscription Fees,62640,ecosoft_account_62600,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62650,Repairs & Maintenance,62650,ecosoft_account_62600,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62660,Staff Meeting Food,62660,ecosoft_account_62600,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62670,Staff retreat,62670,ecosoft_account_62600,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62700,Education Fees,62700,ecosoft_account_62000,View,account.data_account_type_view,FALSE
ecosoft_account_62710,Education Course Fees,62710,ecosoft_account_62700,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62720,Education Course Fees (claim 200%),62720,ecosoft_account_62700,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62730,Education Travel,62730,ecosoft_account_62700,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62740,Education Meals (50%),62740,ecosoft_account_62700,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62790,Education Other - Book/Edu material/etc.,62790,ecosoft_account_62700,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62800,Administrative Expenses,62800,ecosoft_account_62000,View,account.data_account_type_view,FALSE
ecosoft_account_62810,Pre-operating expense,62810,ecosoft_account_62800,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62820,Bad Debts Write-off,62820,ecosoft_account_62800,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62830,Fine and Penalties,62830,ecosoft_account_62800,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62840,Donation,62840,ecosoft_account_62800,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62851,Unrealized loss,62851,ecosoft_account_62800,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62852,Realized loss,62852,ecosoft_account_62800,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62890,Miscellaneous Expense,62890,ecosoft_account_62800,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62900,Depreciation,62900,ecosoft_account_62000,View,account.data_account_type_view,FALSE
ecosoft_account_62910,Office Equipment Depreciation,62910,ecosoft_account_62900,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62920,IT Equipment Depreciation,62920,ecosoft_account_62900,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62980,Amortization,62980,ecosoft_account_62900,Regular,account.data_account_type_expense,FALSE
ecosoft_account_70000,Finance Expenses,70000,ecosoft_account_60000,View,account.data_account_type_view,FALSE
ecosoft_account_71000,Bank Service Charges,71000,ecosoft_account_70000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_72000,Other Service Charges,72000,ecosoft_account_70000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_73000,Interest Expense,73000,ecosoft_account_70000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_80000,Taxation,80000,ecosoft_account_60000,View,account.data_account_type_view,FALSE
ecosoft_account_81000,Unclaimed VAT,81000,ecosoft_account_80000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_82000,Unclaimed Expense,82000,ecosoft_account_80000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_83000,Unclaimed Penalties and Surcharges,83000,ecosoft_account_80000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_84000,Corporate Income Tax,84000,ecosoft_account_80000,Regular,account.data_account_type_expense,FALSE
